PERIODE;PIB;P7;P3M;P3P;P31G;P32G;P3;P51S;P51B;P51G;P51M;P51P;P51;P54;P6
1988T4;238,3;51,5;128,7;3,3;29,6;21,3;182,9;28,7;1,3;11,0;13,1;0,3;54,4;2,8;49,6
1989T1;243,0;53,9;131,3;3,3;30,4;21,3;186,3;30,0;1,3;11,3;13,3;0,3;56,2;1,7;52,7
1989T2;246,7;56,1;133,2;3,4;30,9;21,4;188,9;30,5;1,3;11,3;13,8;0,3;57,2;2,4;54,3
1989T3;251,3;55,7;135,7;3,4;31,5;21,6;192,2;31,0;1,3;11,4;14,0;0,4;58,1;2,7;54,1
1989T4;256,8;58,1;137,5;3,5;32,2;21,7;194,9;32,1;1,3;11,6;14,3;0,4;59,6;4,7;55,6
1990T1;259,8;57,3;139,6;3,6;32,8;21,9;198,0;32,8;1,4;11,9;14,2;0,4;60,6;2,4;56,0
1990T2;263,3;56,7;141,2;3,7;33,1;22,1;200,1;33,1;1,4;12,1;14,3;0,4;61,3;3,9;54,7
1990T3;264,6;57,4;142,1;3,7;33,8;22,4;202,0;33,8;1,5;12,3;14,1;0,4;62,1;3,0;54,9
1990T4;266,3;58,5;144,2;3,7;34,1;22,8;204,8;34,1;1,5;12,4;14,1;0,4;62,5;1,7;55,8
1991T1;268,4;58,8;144,7;3,8;34,7;23,1;206,3;34,1;1,5;12,6;14,0;0,4;62,5;2,3;56,1
1991T2;272,0;58,8;145,6;3,8;35,4;23,5;208,2;34,6;1,5;12,9;13,9;0,4;63,3;1,5;57,8
1991T3;274,7;59,6;146,7;3,9;35,7;23,8;210,1;34,8;1,6;13,2;13,8;0,4;63,8;1,1;59,3
1991T4;277,5;60,0;148,6;4,0;36,3;24,1;213,0;34,5;1,8;13,3;13,5;0,4;63,5;0,4;60,5
1992T1;281,7;59,6;149,6;4,2;36,9;24,4;215,1;34,7;1,6;13,5;13,6;0,4;63,7;1,3;61,2
1992T2;282,4;58,9;150,6;4,3;37,5;24,8;217,2;34,2;1,5;13,3;13,3;0,4;62,7;0,1;61,2
1992T3;283,4;58,0;152,2;4,4;38,2;25,2;220,1;33,7;1,5;13,3;13,2;0,4;62,2;-0,7;59,8
1992T4;283,4;57,2;153,6;4,4;38,8;25,8;222,6;32,9;1,6;13,3;12,9;0,4;61,0;-2,0;58,9
1993T1;284,4;55,7;152,2;4,4;39,3;26,4;222,3;32,0;1,7;13,3;13,1;0,4;60,5;-2,5;59,8
1993T2;284,8;53,0;153,6;4,4;40,0;26,8;224,8;31,4;1,6;13,1;12,7;0,4;59,2;-3,7;57,5
1993T3;285,3;53,8;153,8;4,5;40,0;27,1;225,5;31,0;1,5;12,9;12,6;0,4;58,4;-3,7;58,9
1993T4;287,0;55,1;155,1;4,5;40,3;27,3;227,2;30,9;1,3;12,9;12,6;0,4;58,2;-3,8;60,5
1994T1;289,5;56,5;155,3;4,6;40,5;27,3;227,6;31,3;1,2;13,3;12,9;0,4;59,2;-1,5;60,7
1994T2;293,4;58,4;157,1;4,6;40,8;27,2;229,8;31,8;1,2;13,3;13,2;0,4;60,0;-0,7;62,8
1994T3;296,4;60,0;158,2;4,7;41,4;27,2;231,5;32,3;1,2;13,1;13,6;0,5;60,7;0,1;64,1
1994T4;300,0;62,7;159,0;4,8;42,0;27,1;233,0;32,6;1,2;13,0;13,9;0,5;61,1;0,9;67,7
1995T1;301,6;62,7;159,4;5,0;42,6;27,0;234,0;32,9;1,4;12,8;13,6;0,5;61,2;0,7;68,4
1995T2;304,4;64,7;162,0;5,1;43,3;27,0;237,3;32,7;1,4;12,8;13,7;0,5;61,1;0,7;70,0
1995T3;305,9;65,0;161,9;5,2;43,7;27,3;238,0;32,9;1,4;12,7;13,6;0,5;61,2;2,8;68,9
1995T4;307,4;64,7;162,6;5,3;44,1;27,6;239,6;33,1;1,5;12,9;13,5;0,5;61,3;1,8;69,4
1996T1;311,2;65,8;166,3;5,4;44,3;28,2;244,2;33,4;1,5;12,9;13,7;0,5;62,0;-0,5;71,3
1996T2;312,4;66,4;166,3;5,5;44,6;28,6;245,0;33,1;1,6;13,1;13,7;0,5;61,9;0,7;71,1
1996T3;314,0;66,3;168,4;5,6;44,7;29,1;247,7;33,2;1,6;13,1;13,9;0,5;62,3;-1,6;71,9
1996T4;315,2;68,5;167,0;5,6;45,0;29,5;247,1;33,3;1,7;12,9;14,1;0,5;62,4;-0,9;75,1
1997T1;317,1;69,4;167,6;5,6;45,0;29,9;248,1;32,7;1,7;12,6;14,2;0,5;61,8;-1,3;77,9
1997T2;321,3;70,9;167,7;5,6;45,3;30,1;248,7;33,5;1,8;12,4;14,6;0,5;62,8;-0,8;81,5
1997T3;325,0;74,7;169,6;5,7;45,7;30,2;251,2;33,7;1,9;12,3;14,9;0,5;63,3;0,8;84,3
1997T4;329,7;76,5;172,4;5,8;46,2;30,0;254,3;34,5;2,0;12,4;15,0;0,5;64,5;0,8;86,6
1998T1;334,1;78,7;174,0;5,9;46,4;29,6;255,9;35,4;2,1;12,5;15,1;0,5;65,7;2,9;88,3
1998T2;337,4;79,6;175,8;6,0;46,7;29,4;257,9;36,2;2,2;12,5;15,3;0,6;66,7;3,5;88,8
1998T3;339,3;79,1;177,8;6,1;47,0;29,4;260,3;36,7;2,3;12,6;15,7;0,6;67,8;1,6;88,6
1998T4;341,7;79,2;178,0;6,2;47,5;29,6;261,3;37,2;2,3;12,7;16,1;0,6;68,9;2,8;88,0
1999T1;344,4;78,6;177,6;6,2;48,0;30,0;261,9;37,9;2,4;12,9;16,6;0,6;70,4;3,8;86,9
1999T2;346,9;80,4;179,1;6,3;48,3;30,5;264,1;39,0;2,4;13,1;16,9;0,6;72,0;2,9;88,2
1999T3;351,8;83,3;183,6;6,4;48,8;30,8;269,6;40,3;2,6;13,5;17,1;0,6;74,0;-1,2;92,7
1999T4;356,8;88,2;185,4;6,5;49,5;31,1;272,4;40,9;2,6;13,7;16,9;0,6;74,8;1,4;96,4
2000T1;362,4;93,5;188,7;6,6;50,2;31,4;276,9;41,8;2,8;14,1;17,2;0,6;76,5;2,4;100,1
2000T2;368,0;98,7;191,4;6,7;50,8;31,5;280,4;42,9;2,9;14,5;17,7;0,6;78,7;3,1;104,5
2000T3;373,1;103,9;193,9;6,8;51,3;31,7;283,7;44,9;3,0;14,8;18,0;0,6;81,3;4,4;107,7
2000T4;376,9;108,8;195,5;6,9;51,6;31,8;285,8;45,5;3,0;14,9;18,1;0,6;82,2;5,7;112,0
2001T1;380,5;105,5;197,8;7,0;52,1;31,8;288,8;45,9;3,0;14,9;18,4;0,6;82,7;2,9;111,6
2001T2;383,2;104,5;201,0;7,2;52,7;31,9;292,8;45,8;2,9;14,8;18,3;0,6;82,5;3,4;109,0
2001T3;387,3;102,5;202,2;7,3;53,5;32,1;295,0;46,4;2,9;14,8;18,4;0,6;83,1;2,4;109,3
2001T4;388,3;98,9;203,1;7,4;54,3;32,3;297,1;45,9;2,8;14,8;18,9;0,7;83,0;1,5;105,4
2002T1;392,8;101,2;204,3;7,5;55,3;32,7;299,8;45,6;2,7;14,7;19,0;0,7;82,7;3,7;107,9
2002T2;395,7;102,4;205,8;7,6;56,6;33,1;303,0;45,1;2,7;14,9;19,5;0,7;82,9;1,4;110,8
2002T3;399,5;101,7;207,6;7,6;57,7;33,2;306,1;45,4;2,7;15,0;19,8;0,7;83,5;1,2;110,3
2002T4;401,7;101,7;209,2;7,6;58,9;33,4;309,1;45,7;2,8;15,3;20,1;0,7;84,6;0,2;109,5
2003T1;403,0;102,6;211,8;7,6;59,3;33,6;312,3;45,5;2,9;15,6;20,2;0,7;84,9;0,9;107,4
2003T2;404,7;100,1;212,2;7,5;60,1;33,8;313,6;45,0;3,0;15,8;20,4;0,7;84,9;1,3;105,0
2003T3;410,9;99,9;214,4;7,6;60,7;34,1;316,8;46,1;3,1;16,1;21,1;0,7;87,0;0,8;106,2
2003T4;414,2;101,6;216,6;7,6;61,4;34,5;320,1;45,8;3,1;16,2;21,2;0,7;87,1;0,1;108,6
2004T1;419,9;103,1;219,0;7,7;61,9;35,0;323,6;46,6;3,2;16,6;21,8;0,8;89,0;1,0;109,4
2004T2;423,1;106,5;221,5;7,7;62,3;35,4;326,9;46,9;3,2;16,8;22,4;0,8;90,1;1,2;111,4
2004T3;426,5;109,4;222,2;7,8;62,8;35,6;328,5;47,3;3,2;16,9;22,9;0,8;91,1;3,8;112,5
2004T4;431,7;112,8;226,6;7,8;63,4;35,9;333,7;48,4;3,1;17,3;23,2;0,8;92,8;2,2;115,8
2005T1;434,8;113,8;228,5;7,8;64,2;36,2;336,7;49,0;3,0;17,4;23,5;0,8;93,8;3,3;114,8
2005T2;438,5;115,5;230,4;7,9;65,0;36,4;339,7;49,5;3,0;17,6;24,1;0,8;95,1;2,2;117,0
2005T3;442,7;120,2;233,3;8,0;65,8;36,7;343,7;50,2;3,1;17,9;25,0;0,8;97,1;1,7;120,4
2005T4;448,2;125,5;235,6;8,1;66,1;36,9;346,7;50,9;3,3;17,9;25,6;0,8;98,5;4,4;124,1
2006T1;453,8;127,4;238,9;8,2;66,9;37,3;351,3;51,6;3,6;17,9;26,6;0,8;100,5;2,8;126,6
2006T2;460,6;130,8;242,1;8,3;67,4;37,4;355,3;53,3;3,8;18,1;27,3;0,8;103,4;2,8;130,0
2006T3;464,7;130,8;243,9;8,5;67,7;37,7;357,8;54,2;3,8;18,2;27,8;0,8;105,0;4,2;128,5
2006T4;471,1;133,2;244,3;8,6;68,5;37,9;359,2;55,8;3,8;18,5;28,1;0,9;107,0;5,4;132,7
2007T1;477,0;133,6;247,6;8,8;69,3;38,2;363,8;57,4;3,6;19,0;28,8;0,9;109,6;4,9;132,3
2007T2;483,2;138,3;252,4;8,9;70,1;38,4;369,8;59,0;3,5;19,1;29,3;0,9;111,8;5,1;134,9
2007T3;489,3;140,7;256,1;9,0;70,8;38,7;374,6;60,7;3,6;19,3;29,5;0,9;114,0;5,1;136,3
2007T4;493,3;142,9;259,5;9,0;71,3;38,9;378,7;61,7;3,7;19,4;29,7;0,9;115,3;4,1;138,2
2008T1;499,8;146,9;261,0;9,0;71,8;39,0;380,8;63,6;3,9;19,6;30,6;0,9;118,6;3,7;143,5
2008T2;499,8;147,8;263,5;9,0;72,4;39,4;384,3;63,8;4,1;19,5;30,5;0,9;118,8;2,4;142,1
2008T3;499,1;149,7;263,7;9,1;73,1;39,8;385,6;63,8;4,1;19,7;29,9;0,9;118,5;2,6;142,1
2008T4;493,0;138,8;260,3;9,2;73,6;40,2;383,3;61,1;4,0;19,8;28,4;0,9;114,1;2,1;132,3
2009T1;483,8;124,8;257,9;9,4;74,0;40,7;382,0;57,2;3,8;20,2;26,7;0,9;108,9;-2,5;120,3
2009T2;482,8;121,9;258,2;9,5;74,8;41,2;383,6;55,4;3,6;20,6;25,9;1,0;106,4;-4,9;119,6
2009T3;482,5;121,8;258,0;9,6;75,6;41,6;384,8;55,1;3,5;20,7;25,4;1,0;105,6;-6,1;120,0
2009T4;488,2;128,3;260,8;9,7;76,6;41,9;388,9;55,9;3,3;21,0;25,6;1,0;106,8;-0,8;121,6
2010T1;491,3;131,0;262,9;9,8;76,9;41,8;391,4;56,8;3,2;20,8;25,8;1,0;107,7;-4,1;127,3
2010T2;496,4;138,1;264,5;9,9;77,3;41,9;393,6;57,8;3,2;20,7;26,5;1,0;109,2;-1,0;132,7
2010T3;501,4;143,3;266,7;9,9;77,8;42,2;396,7;58,9;3,2;20,8;27,2;1,0;111,1;1,9;135,0
2010T4;504,4;146,0;270,6;10,0;78,1;42,4;401,0;60,0;3,4;20,5;27,4;1,0;112,2;-0,3;137,5
2011T1;511,2;156,2;274,4;10,1;78,7;42,7;405,9;60,9;3,5;20,2;27,5;1,0;113,2;6,1;142,1
2011T2;512,2;155,7;271,1;10,2;78,7;42,9;403,0;61,6;3,8;20,3;27,9;1,0;114,5;5,4;145,0
2011T3;515,5;156,3;272,0;10,3;79,3;43,2;404,9;62,3;4,0;20,4;28,1;1,0;115,8;4,4;146,6
2011T4;518,4;156,3;272,3;10,4;79,6;43,5;405,8;63,4;4,3;20,7;28,3;1,0;117,8;0,8;150,4
2012T1;519,3;158,9;274,5;10,4;80,2;43,9;408,9;62,8;4,6;20,9;27,9;1,0;117,3;0,8;151,2
2012T2;521,4;159,3;275,1;10,5;80,6;44,1;410,3;62,5;4,7;21,1;27,7;1,0;117,1;0,9;152,4
2012T3;524,1;159,7;275,3;10,6;81,0;44,4;411,3;62,8;4,6;21,3;27,8;1,1;117,5;1,9;153,1
2012T4;523,7;159,5;276,1;10,6;81,4;44,6;412,8;62,8;4,3;21,3;27,6;1,1;117,1;-0,6;153,9
2013T1;525,5;159,1;277,2;10,7;81,8;44,9;414,6;62,6;3,9;21,2;27,2;1,1;116,0;0,2;153,8
2013T2;530,2;160,9;278,1;10,8;82,4;45,1;416,4;63,0;3,6;21,2;27,4;1,1;116,4;1,7;156,6
2013T3;529,9;161,8;278,7;10,9;82,7;45,4;417,6;63,4;3,6;21,0;27,7;1,1;116,9;1,9;155,3
2013T4;533,9;163,7;279,9;11,0;83,1;45,5;419,5;64,3;3,8;20,9;28,3;1,1;118,4;2,3;157,4
2014T1;535,3;164,0;279,3;11,0;83,7;45,4;419,3;64,1;4,1;20,5;27,9;1,1;117,7;3,9;158,4
2014T2;536,0;164,7;280,7;11,1;84,1;45,3;421,2;64,2;4,4;20,1;27,5;1,1;117,3;4,3;158,0
2014T3;539,4;167,9;281,2;11,2;84,7;45,3;422,4;65,2;4,6;19,8;27,5;1,1;118,2;6,7;160,0
2014T4;541,5;167,9;283,0;11,3;85,1;45,3;424,7;64,8;4,7;19,4;27,1;1,1;117,1;4,4;163,3
2015T1;546,5;168,9;284,3;11,4;85,3;45,3;426,2;65,6;4,8;19,2;27,1;1,1;117,7;6,5;164,9
2015T2;548,3;171,7;285,8;11,4;85,6;45,3;428,1;65,9;4,8;18,1;26,9;1,1;117,0;4,6;170,3
2015T3;551,3;171,7;286,7;11,5;85,5;45,4;429,1;66,5;4,9;18,7;27,2;1,1;118,4;6,9;168,6
2015T4;553,5;173,5;286,3;11,6;85,8;45,4;429,0;67,6;4,9;18,9;27,4;1,2;120,0;8,4;169,6
2016T1;558,0;170,7;289,0;11,6;86,3;45,3;432,2;68,8;5,0;18,7;27,5;1,2;121,2;7,4;168,0
2016T2;555,4;168,3;290,4;11,7;86,4;45,5;433,9;68,4;5,1;18,7;27,5;1,2;120,9;1,9;166,9
2016T3;557,9;173,3;290,8;11,8;87,1;45,9;435,5;68,4;5,3;18,7;28,0;1,2;121,6;6,1;167,9
2016T4;561,6;176,6;293,7;11,8;87,5;46,2;439,3;69,0;5,5;18,9;28,7;1,2;123,3;3,1;172,6
2017T1;566,5;182,4;295,5;11,9;88,1;46,6;442,1;71,2;5,8;19,1;29,4;1,2;126,7;7,4;172,7
2017T2;572,5;181,8;297,2;12,0;88,7;46,9;444,8;72,2;6,0;19,1;30,0;1,2;128,4;4,8;176,3
2017T3;578,2;185,0;299,2;12,1;89,3;47,0;447,6;73,5;6,0;19,1;30,6;1,2;130,4;5,5;179,7
2017T4;582,4;188,3;300,7;12,1;89,5;47,2;449,6;74,8;6,0;19,3;31,1;1,2;132,3;5,2;183,7
2018T1;584,8;189,8;303,9;12,1;89,4;47,4;452,7;75,1;5,8;19,5;30,9;1,2;132,5;6,4;183,0
2018T2;588,5;194,0;305,8;12,2;89,8;47,6;455,4;76,6;5,8;19,8;31,1;1,2;134,6;6,6;186,0
2018T3;593,4;194,9;307,5;12,2;89,8;47,8;457,3;77,4;6,0;20,2;31,6;1,2;136,4;5,5;189,1
2018T4;598,1;195,9;308,1;12,3;90,2;48,1;458,8;77,8;6,3;20,9;32,0;1,2;138,3;4,2;192,8
2019T1;604,7;199,9;311,2;12,5;90,6;48,4;462,6;78,2;6,7;21,6;32,1;1,2;139,8;8,2;194,0
2019T2;610,4;201,0;314,6;12,5;91,1;48,7;466,9;79,8;7,0;22,3;32,6;1,3;142,9;6,9;194,6
2019T3;613,1;198,5;315,4;12,6;91,5;49,1;468,5;80,4;7,0;22,5;33,7;1,3;144,9;5,7;192,4
2019T4;612,1;196,3;316,3;12,5;92,0;49,2;470,0;81,4;6,8;22,6;33,6;1,3;145,8;2,0;190,6
2020T1;587,1;184,0;301,2;12,3;91,3;50,3;455,1;75,0;5,9;21,7;30,7;1,2;134,5;5,7;175,7
2020T2;528,7;148,5;267,4;11,6;91,6;49,6;420,2;66,9;4,8;19,3;24,6;1,2;116,7;9,7;130,6
2020T3;598,9;173,5;316,0;12,5;95,3;49,4;473,1;80,0;5,8;21,9;31,9;1,3;140,9;-0,2;158,6
2020T4;602,2;176,1;299,0;12,5;98,0;50,4;459,9;81,9;5,8;22,0;35,8;1,3;146,8;3,1;168,5
2021T1;608,2;183,7;302,5;12,7;99,9;50,3;465,5;83,1;6,5;22,2;35,4;1,3;148,5;4,8;173,1
2021T2;616,5;192,1;307,4;12,9;101,2;51,0;472,5;84,5;6,8;22,4;37,1;1,3;152,2;4,3;179,5
2021T3;635,0;200,4;324,8;13,3;101,8;51,6;491,5;85,9;6,9;22,4;37,7;1,3;154,2;-1,7;191,4
2021T4;640,0;219,8;328,0;13,6;102,3;52,3;496,1;86,8;7,0;22,9;38,1;1,3;156,1;2,6;204,9
2022T1;645,1;236,4;327,7;13,9;103,5;53,0;498,1;88,8;7,3;23,8;38,4;1,4;159,6;7,0;216,8
2022T2;654,2;250,9;335,6;14,1;102,4;53,9;506,1;90,6;7,5;24,4;39,9;1,4;163,7;9,5;225,9
2022T3;665,8;268,7;341,9;14,3;104,3;55,1;515,6;95,4;7,7;24,9;40,2;1,4;169,7;11,8;237,4
2022T4;673,2;260,6;346,2;14,4;105,7;55,6;521,9;96,9;7,8;25,3;40,3;1,4;171,7;5,8;234,4
2023T1;685,3;250,3;353,6;14,5;105,8;55,7;529,6;97,8;7,9;25,5;40,3;1,4;173,0;3,0;230,1
2023T2;701,6;244,9;356,6;14,5;106,3;56,2;533,7;99,2;8,0;25,8;40,1;1,5;174,6;6,5;231,8
